pc1,pc2,clusters
0.01855459390560725,-0.07926882805172344,1
-0.07320193074908438,0.019207298514111175,1
-0.04865456475660999,-0.10399772211087549,1
-0.06932580554117253,-0.08663153370857642,1
0.09096537133875246,-0.0530370795228192,1
-0.07048417395315874,0.10248513287780982,0
-0.009432079049807824,-0.08848701762067603,1
-0.07153111068346463,-0.020851352159707386,1
0.8839842956961191,0.2277271488699825,2
-0.09107542219807456,0.8918614910627688,0
0.06932133615703481,-0.061531217780075226,1
-0.08578558660112877,0.08438492673676992,0
0.032669522721147856,-0.07391920850293639,1
-0.07003234260505556,-0.019436141027443687,1
-0.0442056062486077,-0.10374938750153477,1
-0.06710998525074234,-0.08707155035450123,1
-0.05096488116659358,-0.10630795395352893,1
-0.0667677627236188,-0.1030981683155437,1
0.39201678040040305,0.06684322411664366,2
-0.06599653333689291,0.31300065805293403,0
0.12438405682930312,-0.03503317895919443,1
-0.06474317920938229,0.10068590846087969,0
-0.029995217753391083,-0.09934684726914889,1
-0.06672236479475262,-0.10723244858315792,1
-0.03378211395416107,-0.10037928181766172,1
-0.07318343374202878,-0.04893749676707797,1
0.22844525933235718,-0.009195969140094013,1
-0.11601570430388089,0.365200623102089,0
0.06322537137535673,-0.05991560781735682,1
-0.09354440166417609,0.16378359561730946,0
0.006360150038620644,-0.08681041701418728,1
-0.08330122073723649,0.027129015285499915,1
-0.0024786464508539563,-0.08970685672966405,1
-0.07845525759690208,0.006295216550464289,1
0.029886073812044386,-0.07528516024965003,1
-0.07367323415553514,0.022051745064158607,1
0.016196761196606718,-0.07690985495247873,1
-0.07067547072471826,-0.010410895455715457,1
-0.03058296129019212,-0.09954274951374101,1
-0.06615502504622763,-0.09878811212773057,1
0.07546169988540027,-0.061375459848900436,1
-0.07080954950071017,-0.005572638964701425,1
0.12005396018411404,-0.0485497836986581,1
-0.06884369708123146,0.05586771809633075,1
0.14945835721012757,-0.02836930921527821,1
-0.08924258097944351,0.17733067297225963,0
0.06748738176860405,-0.06336927726947028,1
-0.0950096463828671,0.12666019898560998,0
-0.015861726178663393,-0.0912286029220496,1
-0.07021840484797247,-0.037385633889066586,1
0.050562988878294024,-0.0701712985336568,1
-0.0853666305351969,0.08502522575548882,0
-0.042953831050473144,-0.1033723804614594,1
-0.07158101775189948,-0.06932902403350052,1
-0.022597546015714228,-0.09636987022718904,1
-0.07656678466350457,-0.02695432889099474,1
-0.003563041996032718,-0.08873186503660774,1
-0.07489031736489735,-0.0123326719308774,1
-0.024109390225444487,-0.09823349066461765,1
-0.06681440064144148,-0.0870948519419595,1
0.15891993456015033,-0.03112545487486086,1
-0.061927286928807536,0.09029474711618213,0
-0.008338627590537035,-0.08959771790713188,1
-0.0752469575483071,-0.03055924238062309,1
0.384375842414936,0.05441038766720458,2
-0.04690197107658769,0.25903589211308714,0
0.1487274244254272,-0.02721903087452328,1
-0.06570627910437797,0.10068648589866148,0
-0.04960769483299247,-0.1053304606893834,1
-0.07310841241898941,-0.06723363211120989,1
0.17777110260021153,-0.021209338638904954,1
-0.09829769705647266,0.27920489091941075,0
0.018244264787576025,-0.07682161275397378,1
-0.07546978333392465,0.027220786908175924,1
0.026073442948539294,-0.0763756930883798,1
-0.07039283339949687,-0.05588543801399655,1
0.23846762192132523,-0.0045215545984744554,1
-0.08224102501630917,0.22691218328274773,0
-0.03957250362617508,-0.10318134776179935,1
-0.06930996311272215,-0.0673414327819716,1
0.033399255786111214,-0.0732782578486948,1
-0.061685942402432074,-0.007057019678442864,1
-0.04444704532942746,-0.10382486384169202,1
-0.07277127666071144,-0.06469942101374651,1
0.055883455204751756,-0.06478420621262669,1
-0.08326974541665778,0.13187468306308744,0
0.49016463684884626,0.09942131131654985,2
-0.08036851612561557,0.5518805727936568,0
-0.0037159447192502745,-0.08814472265159791,1
-0.07861156467171371,0.02455630841640228,1
-0.05021132231528754,-0.10649694913068332,1
-0.06632807911274076,-0.10813850893723119,1
0.13432684986878293,-0.03581627217775408,1
-0.06377049976545437,0.02342123903055938,1
0.10543809123730509,-0.04832420709426665,1
-0.07321382812765581,0.0008378372061057086,1
-0.029935528773468924,-0.09539179421908797,1
-0.06901534297383165,-0.06366502399885295,1
0.07088185307261494,-0.062375580625650795,1
-0.09646004551561642,0.13861453698830217,0
-0.055336331502207466,-0.10769168335050606,1
-0.07014110644575682,-0.0844986710493891,1
